NumPtsPerMetric	MetricType	NumLabels	NumResourceAttrs
OnePt	IntGauge	NoLabels	NoAttrs
ManyPts	NonMonotonicSum	OneLabel	OneAttr
OnePt	IntHistogram	ManyLabels	OneAttr
ManyPts	NonMonotonicSum	NoLabels	TwoAttrs
OnePt	IntGauge	OneLabel	TwoAttrs
ManyPts	NonMonotonicSum	ManyLabels	NoAttrs
OnePt	DoubleGauge	NoLabels	OneAttr
ManyPts	IntGauge	ManyLabels	OneAttr
ManyPts	NonMonotonicIntSum	ManyLabels	TwoAttrs
ManyPts	IntHistogram	OneLabel	NoAttrs
ManyPts	MonotonicIntSum	ManyLabels	NoAttrs
OnePt	Histogram	OneLabel	OneAttr
OnePt	NonMonotonicIntSum	NoLabels	NoAttrs
ManyPts	Histogram	NoLabels	TwoAttrs
ManyPts	MonotonicSum	OneLabel	OneAttr
ManyPts	DoubleGauge	ManyLabels	NoAttrs
OnePt	MonotonicIntSum	NoLabels	TwoAttrs
OnePt	IntHistogram	NoLabels	TwoAttrs
OnePt	MonotonicSum	ManyLabels	NoAttrs
ManyPts	DoubleGauge	OneLabel	TwoAttrs
ManyPts	MonotonicIntSum	OneLabel	OneAttr
OnePt	Histogram	ManyLabels	NoAttrs
OnePt	NonMonotonicIntSum	OneLabel	OneAttr
OnePt	NonMonotonicSum	ManyLabels	NoAttrs
ManyPts	MonotonicSum	NoLabels	TwoAttrs
