Resource	InstrumentationLibrary	Spans
Nil	None	Several
Nil	One	One
Empty	One	None
K8sCloud	None	All
VMOnPrem	Two	All
Faas	Two	None
K8sOnPrem	One	Several
K8sOnPrem	Two	All
VMOnPrem	None	One
Faas	One	All
K8sCloud	Two	Several
Nil	None	None
K8sOnPrem	None	None
Faas	None	One
VMCloud	One	None
VMCloud	Two	All
Nil	Two	All
K8sCloud	One	None
K8sCloud	Two	One
VMCloud	None	One
Empty	Two	One
Faas	One	Several
VMOnPrem	One	None
K8sOnPrem	One	One
VMCloud	None	Several
Empty	None	All
Empty	None	Several
VMOnPrem	Two	Several
